fldName,fldInvestmentExpected,fldInvExpFixYear,fldNpdidField
ALVE,1167,2023,4444332
ALVE NORD,6602,2023,42002483
ALVHEIM,14290,2023,2845712
BALDER,31306,2023,43562
BAUGE,74,2023,29446221
BERLING,9414,2023,42002473
BLANE,7,2023,3437650
BRAGE,2064,2023,43651
BREIDABLIKK,12817,2023,38702206
BYRDING,16,2023,28975067
BØYLA,390,2023,22492497
DRAUGEN,7447,2023,43758
DUVA,77,2023,34833026
DVALIN,9411,2023,29393934
EDVARD GRIEG,3314,2023,21675433
EKOFISK,21250,2023,43506
ELDFISK,17421,2023,43527
EMBLA,0,2023,43534
ENOCH,0,2023,3437659
FENJA,73,2023,31164879
FENRIS,13469,2023,42002478
FRAM,722,2023,1578840
FRAM H-NORD,0,2023,23410947
FULLA,4849,2023,42002479
GIMLE,460,2023,4005142
GINA KROG,3023,2023,23384544
GJØA,958,2023,4467574
GOLIAT,2904,2023,5774394
GRANE,10959,2023,1035937
GUDRUN,978,2023,18116481
GULLFAKS,28815,2023,43686
GULLFAKS SØR,5693,2023,43699
GUNGNE,0,2023,43464
HALTEN ØST,8356,2023,42148955
HANZ,2743,2023,25307278
HEIDRUN,31614,2023,43771
HOD,119,2023,43485
HUGIN,65624,2023,42002474
HYME,23,2023,20474183
IDUN NORD,4023,2023,42002477
IRPA,15984,2023,42002482
ISLAY,0,2023,21105675
IVAR AASEN,1162,2023,23384520
JOHAN CASTBERG,29226,2023,32017325
JOHAN SVERDRUP,31995,2023,26376286
KRISTIN,9782,2023,1854729
KVITEBJØRN,4204,2023,1036101
MARIA,6188,2023,26465170
MARTIN LINGE,3461,2023,21675447
MARULK,83,2023,18212090
MIKKEL,901,2023,1630514
MORVIN,0,2023,4966234
MUNIN,36582,2023,42002476
NJORD,7150,2023,43751
NORNE,1353,2023,43778
NOVA,2349,2023,33197696
ODA,118,2023,29412516
ORMEN LANGE,8790,2023,2762452
OSEBERG,26912,2023,43625
OSEBERG SØR,9687,2023,43645
OSEBERG ØST,352,2023,43639
REV,0,2023,4467554
RINGHORNE ØST,811,2023,3505505
SIGYN,25,2023,1630100
SKARV,6984,2023,4704482
SKOGUL,19,2023,31164600
SKULD,310,2023,21350124
SLEIPNER VEST,3555,2023,43457
SLEIPNER ØST,1423,2023,43478
SNORRE,38233,2023,43718
SNØHVIT,24629,2023,2053062
SOLVEIG,7174,2023,34833011
STATFJORD,11589,2023,43658
STATFJORD NORD,2946,2023,43679
STATFJORD ØST,4092,2023,43672
SVALIN,1006,2023,22507971
SYGNA,254,2023,104718
SYMRA,7843,2023,42002480
TAMBAR,79,2023,1028599
TAMBAR ØST,840,2023,4999528
TOMMELITEN A,7008,2023,40867462
TOR,74,2023,43520
TORDIS,4367,2023,43725
TRESTAKK,96,2023,29396445
TROLL,26235,2023,46437
TRYM,73,2023,18081500
TUNE,1,2023,853376
TYRIHANS,1693,2023,3960848
TYRVING,4824,2023,42002471
ULA,145,2023,43800
URD,758,2023,2834734
UTGARD,377,2023,28975098
VALEMON,1191,2023,20460969
VALHALL,48783,2023,43548
VEGA,-30,2023,4467595
VERDANDE,4943,2023,42002481
VIGDIS,5921,2023,43732
VILJE,1,2023,3392471
VISUND,13447,2023,43745
VISUND SØR,600,2023,20461008
VOLUND,6,2023,4380167
YME,972,2023,43807
ÆRFUGL NORD,29,2023,38542241
ØRN,6848,2023,42002484
ÅSGARD,14137,2023,43765
AASTA HANSTEEN,836,2023,23395946
